File,Size_KB,Width,Height,Format
about.webp,53.78,682,512,WEBP
apple-touch-icon.webp,1.06,120,120,WEBP
counts-img.webp,25.16,533,533,WEBP
cta-bg.webp,80.27,1280,632,WEBP
favicon.webp,0.31,21,21,WEBP
features.webp,35.68,682,512,WEBP
hero-bg.webp,107.62,1280,853,WEBP
testimonials-bg.webp,178.96,1280,853,WEBP
clients\client-1.webp,3.28,266,115,WEBP
clients\client-2.webp,2.35,266,93,WEBP
clients\client-3.webp,3.11,266,94,WEBP
clients\client-4.webp,5.75,266,146,WEBP
clients\client-5.webp,2.53,266,94,WEBP
clients\client-6.webp,2.14,266,83,WEBP
clients\client-7.webp,2.63,266,52,WEBP
clients\client-8.webp,2.88,266,94,WEBP
copypaste\image1.webp,106.31,682,682,WEBP
copypaste\image10.webp,106.31,682,682,WEBP
copypaste\image11.webp,106.31,682,682,WEBP
copypaste\image12.webp,106.31,682,682,WEBP
copypaste\image13.webp,106.31,682,682,WEBP
copypaste\image14.webp,106.31,682,682,WEBP
copypaste\image15.webp,106.31,682,682,WEBP
copypaste\image2.webp,106.31,682,682,WEBP
copypaste\image3.webp,106.31,682,682,WEBP
copypaste\image4.webp,106.31,682,682,WEBP
copypaste\image5.webp,106.31,682,682,WEBP
copypaste\image6.webp,106.31,682,682,WEBP
copypaste\image7.webp,106.31,682,682,WEBP
copypaste\image8.webp,106.31,682,682,WEBP
copypaste\image9.webp,106.31,682,682,WEBP
portfolio\portfolio-1.webp,7.58,582,590,WEBP
portfolio\portfolio-2.webp,31.89,868,582,WEBP
portfolio\portfolio-3.webp,7.94,533,300,WEBP
portfolio\portfolio-4.webp,5.9,533,352,WEBP
portfolio\portfolio-5.webp,8.94,388,580,WEBP
portfolio\portfolio-6.webp,5.21,386,574,WEBP
portfolio\portfolio-7.webp,16.14,798,518,WEBP
portfolio\portfolio-8.webp,10.73,533,355,WEBP
portfolio\portfolio-9.webp,8.04,846,562,WEBP
portfolio\portfolio-details-1.webp,57.54,800,463,WEBP
portfolio\portfolio-details-2.webp,47.86,800,463,WEBP
portfolio\portfolio-details-3.webp,27.93,800,463,WEBP
slide\slide-17.webp,99.15,1280,853,WEBP
team\team-1.webp,10.21,400,400,WEBP
team\team-2.webp,12.1,400,400,WEBP
team\team-3.webp,9.93,400,400,WEBP
team\team-4.webp,7.73,400,400,WEBP
testimonials\testimonials-1.webp,5.63,266,266,WEBP
testimonials\testimonials-2.webp,8.81,266,266,WEBP
testimonials\testimonials-3.webp,5.76,266,266,WEBP
testimonials\testimonials-4.webp,8.15,266,266,WEBP
testimonials\testimonials-5.webp,7.41,266,266,WEBP
